filename	ATTIRBUTE_sample_type	ATTRIBUTE_timepoint_HRS	ATTRIBUTE_Polarity
OMICS_MHAE003_MOCK_24HRS_1_Lipid_044_POS_7July17_Polaroid_HSST-T3-A923.mzML	MOCK	24	POS
OMICS_MHAE003_MOCK_36HRS_4_Lipid_008_POS_7July17_Polaroid_HSST-T3-A923.mzML	MOCK	36	POS
OMICS_MHAE003_icMERS_0HRS_1_Lipid_057_POS_7July17_Polaroid_HSST-T3-A923.mzML	icMERS	0	POS
OMICS_MHAE003_MOCK_12HRS_4_Lipid_051_POS_7July17_Polaroid_HSST-T3-A923.mzML	MOCK	12	POS
OMICS_MHAE003_MOCK_48HRS_5_Lipid_046_POS_7July17_Polaroid_HSST-T3-A923.mzML	MOCK	48	POS
OMICS_MHAE003_icMERS_0HRS_2_Lipid_007_POS_7July17_Polaroid_HSST-T3-A923.mzML	icMERS	0	POS
OMICS_MHAE003_MOCK_0HRS_5_Lipid_002_POS_7July17_Polaroid_HSST-T3-A923.mzML	MOCK	0	POS
OMICS_MHAE003_MOCK_12HRS_1_Lipid_038_POS_7July17_Polaroid_HSST-T3-A923.mzML	MOCK	12	POS
OMICS_MHAE003_MOCK_12HRS_5_Lipid_020_POS_7July17_Polaroid_HSST-T3-A923.mzML	MOCK	12	POS
OMICS_MHAE003_MOCK_24HRS_4_Lipid_029_POS_7July17_Polaroid_HSST-T3-A923.mzML	MOCK	24	POS
OMICS_MHAE003_MOCK_48HRS_3_Lipid_014_POS_7July17_Polaroid_HSST-T3-A923.mzML	MOCK	48	POS
OMICS_MHAE003_icMERS_12HRS_4_Lipid_022_POS_7July17_Polaroid_HSST-T3-A923.mzML	icMERS	12	POS
OMICS_MHAE003_icMERS_24HRS_5_Lipid_004_POS_7July17_Polaroid_HSST-T3-A923.mzML	icMERS	24	POS
OMICS_MHAE003_MOCK_0HRS_4_Lipid_005_POS_7July17_Polaroid_HSST-T3-A923.mzML	MOCK	0	POS
OMICS_MHAE003_MOCK_36HRS_5_Lipid_003_POS_7July17_Polaroid_HSST-T3-A923.mzML	MOCK	36	POS
OMICS_MHAE003_MOCK_12HRS_3_Lipid_037_POS_7July17_Polaroid_HSST-T3-A923.mzML	MOCK	12	POS
OMICS_MHAE003_icMERS_36HRS_4_Lipid_023_POS_7July17_Polaroid_HSST-T3-A923.mzML	icMERS	36	POS
OMICS_MHAE003_icMERS_24HRS_4_Lipid_047_POS_7July17_Polaroid_HSST-T3-A923.mzML	icMERS	24	POS
OMICS_MHAE003_MOCK_0HRS_3_Lipid_026_POS_7July17_Polaroid_HSST-T3-A923.mzML	MOCK	0	POS
OMICS_MHAE003_icMERS_48HRS_1_Lipid_013_POS_7July17_Polaroid_HSST-T3-A923.mzML	icMERS	48	POS
OMICS_MHAE003_icMERS_36HRS_1_Lipid_053_POS_7July17_Polaroid_HSST-T3-A923.mzML	icMERS	36	POS
OMICS_MHAE003_MOCK_24HRS_3_Lipid_040_NEG_17July17_Polaroid_HSST-T3-A923.mzML	MOCK	24	NEG
OMICS_MHAE003_MOCK_12HRS_1_Lipid_038_NEG_17July17_Polaroid_HSST-T3-A923.mzML	MOCK	12	NEG
OMICS_MHAE003_MOCK_0HRS_1_Lipid_041_NEG_17July17_Polaroid_HSST-T3-A923.mzML	MOCK	0	NEG
OMICS_MHAE003_icMERS_12HRS_2_Lipid_032_NEG_17July17_Polaroid_HSST-T3-A923.mzML	icMERS	12	NEG
OMICS_MHAE003_MOCK_24HRS_1_Lipid_044_NEG_17July17_Polaroid_HSST-T3-A923.mzML	MOCK	24	NEG
OMICS_MHAE003_icMERS_36HRS_4_Lipid_023_NEG_17July17_Polaroid_HSST-T3-A923.mzML	icMERS	36	NEG
OMICS_MHAE003_icMERS_24HRS_4_Lipid_047_NEG_17July17_Polaroid_HSST-T3-A923.mzML	icMERS	24	NEG
OMICS_MHAE003_icMERS_48HRS_4_Lipid_035_NEG_17July17_Polaroid_HSST-T3-A923.mzML	icMERS	48	NEG
OMICS_MHAE003_MOCK_48HRS_4_Lipid_010_NEG_17July17_Polaroid_HSST-T3-A923.mzML	MOCK	48	NEG
OMICS_MHAE003_icMERS_48HRS_1_Lipid_013_NEG_17July17_Polaroid_HSST-T3-A923.mzML	icMERS	48	NEG
OMICS_MHAE003_MOCK_0HRS_5_Lipid_002_NEG_17July17_Polaroid_HSST-T3-A923.mzML	MOCK	0	NEG
OMICS_MHAE003_MOCK_36HRS_5_Lipid_003_NEG_17July17_Polaroid_HSST-T3-A923.mzML	MOCK	36	NEG
OMICS_MHAE003_MOCK_12HRS_2_Lipid_050_NEG_17July17_Polaroid_HSST-T3-A923.mzML	MOCK	12	NEG
OMICS_MHAE003_icMERS_0HRS_3_Lipid_016_NEG_17July17_Polaroid_HSST-T3-A923.mzML	icMERS	0	NEG
OMICS_MHAE003_MOCK_36HRS_3_Lipid_011_NEG_17July17_Polaroid_HSST-T3-A923.mzML	MOCK	36	NEG
OMICS_MHAE003_MOCK_24HRS_4_Lipid_029_NEG_17July17_Polaroid_HSST-T3-A923.mzML	MOCK	24	NEG
OMICS_MHAE003_MOCK_12HRS_4_Lipid_051_NEG_17July17_Polaroid_HSST-T3-A923.mzML	MOCK	12	NEG
OMICS_MHAE003_icMERS_24HRS_3_Lipid_058_NEG_17July17_Polaroid_HSST-T3-A923.mzML	icMERS	24	NEG
OMICS_MHAE003_icMERS_48HRS_2_Lipid_031_NEG_17July17_Polaroid_HSST-T3-A923.mzML	icMERS	48	NEG
OMICS_MHAE003_icMERS_12HRS_3_Lipid_028_NEG_17July17_Polaroid_HSST-T3-A923.mzML	icMERS	12	NEG
OMICS_MHAE003_icMERS_24HRS_5_Lipid_004_NEG_17July17_Polaroid_HSST-T3-A923.mzML	icMERS	24	NEG
